,0
0,17
1,2
2,0
3,9
4,0
5,1
6,1
7,12
8,1
9,1
10,2
11,13
12,9
13,1
14,2
15,6
16,3
17,6
18,1
19,6
20,6
21,6
22,1
23,6
24,3
25,6
26,6
27,2
28,6
29,11
30,13
31,6
32,6
33,1
34,2
35,11
36,6
37,1
38,6
39,12
40,6
41,9
42,2
43,9
44,11
45,0
46,9
47,1
48,12
49,6
50,6
51,0
52,6
53,6
54,6
55,3
56,2
57,2
58,4
59,1
60,7
61,6
62,0
63,12
64,6
65,5
66,1
67,5
68,3
69,0
70,2
71,6
72,0
73,5
74,12
75,6
76,13
77,10
78,2
79,1
80,15
81,13
82,14
83,7
84,15
85,1
86,0
87,3
88,2
89,6
90,3
91,6
92,1
93,6
94,2
95,1
96,1
97,12
98,15
99,10
100,6
101,0
102,9
103,2
104,11
105,6
106,1
107,3
108,6
109,1
110,1
111,2
112,9
113,9
114,1
115,0
116,6
117,14
118,3
119,6
120,14
121,1
122,2
123,2
124,17
125,0
126,6
127,15
128,17
129,1
130,13
131,13
132,7
133,2
134,2
135,6
136,2
137,6
138,6
139,17
140,1
141,0
142,2
143,6
144,17
145,2
146,2
147,6
148,2
149,12
150,12
151,17
152,6
153,9
154,1
155,3
156,13
157,4
158,12
159,6
160,2
161,1
162,1
163,6
164,0
165,0
166,7
167,0
168,13
169,1
170,1
171,1
172,2
173,1
174,1
175,11
176,6
177,0
178,2
179,1
180,6
181,0
182,6
183,6
184,1
185,0
186,2
187,10
188,6
189,1
190,0
191,15
192,6
193,13
194,6
195,0
196,2
197,6
198,12
199,1
200,10
201,2
202,0
203,0
204,2
205,0
206,0
207,6
208,6
209,4
210,0
211,6
212,0
213,6
214,0
215,6
216,16
217,1
218,17
219,2
220,2
221,4
222,1
223,6
224,2
225,0
226,1
227,6
228,6
229,6
230,6
231,0
232,2
233,6
234,7
235,1
236,10
237,11
238,6
239,1
240,17
241,1
242,7
243,4
244,12
245,6
246,17
247,6
248,11
249,0
250,12
251,6
252,6
253,0
254,6
255,6
256,6
257,6
258,6
259,16
260,6
261,4
262,13
263,1
264,1
265,7
266,6
267,6
268,1
269,6
270,16
271,9
272,5
273,3
274,6
275,6
276,6
277,0
278,0
279,0
280,3
281,9
282,2
283,0
284,6
285,6
286,6
287,6
288,2
289,13
290,4
291,6
292,11
293,3
294,0
295,2
296,4
297,9
298,1
299,2
300,6
301,2
302,2
303,2
304,3
305,9
306,6
307,1
308,6
309,14
310,6
311,0
312,2
313,6
314,6
315,6
316,6
317,6
318,2
319,0
320,15
321,12
322,1
323,15
324,2
325,1
326,10
327,2
328,6
329,6
330,0
331,17
332,1
333,4
334,6
335,0
336,0
337,2
338,3
339,6
340,2
