,0
0,1
1,1
2,1
3,0
4,1
5,2
6,1
7,1
8,0
9,0
10,1
11,2
12,1
13,0
14,2
15,0
16,1
17,1
18,0
19,2
20,2
21,0
22,0
23,0
24,0
25,2
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,2
34,1
35,2
36,1
37,2
38,0
39,2
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,2
48,1
49,1
50,2
51,1
52,2
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,2
62,2
63,2
64,1
65,2
66,0
67,2
68,0
69,0
70,2
71,2
72,2
73,0
74,2
75,2
76,1
77,0
78,1
79,1
80,0
81,1
82,2
83,2
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,2
98,0
99,1
100,0
101,2
102,2
103,1
104,0
105,0
106,1
107,1
108,0
109,2
110,2
111,1
112,2
113,1
114,2
115,0
116,0
117,2
118,2
119,1
120,1
121,0
122,2
123,0
124,2
125,0
126,2
127,2
128,2
129,2
130,2
131,1
132,1
133,2
134,0
135,1
136,2
137,1
138,2
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,2
147,2
148,1
149,1
150,1
151,0
152,1
153,0
154,2
155,2
156,2
157,0
158,1
159,1
160,2
161,0
162,1
163,0
164,0
165,0
166,2
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,2
176,2
177,1
178,0
179,1
180,0
181,2
182,1
183,1
184,1
185,2
186,1
187,2
188,1
189,2
190,1
191,2
192,1
193,0
194,1
195,2
196,2
197,2
198,0
199,2
200,1
201,1
202,0
203,1
204,2
205,2
206,0
207,2
208,1
209,2
210,0
211,0
212,1
213,2
214,2
215,1
216,0
217,2
218,1
219,0
220,0
221,2
222,2
223,1
224,1
225,2
226,1
227,2
228,2
229,1
230,2
231,0
232,2
233,1
234,1
235,2
236,1
237,0
238,2
239,1
240,0
241,2
242,0
243,2
244,1
245,1
246,1
247,2
248,2
249,1
250,2
251,2
252,2
253,1
254,0
255,1
256,2
257,0
258,0
259,1
260,1
261,0
262,1
263,2
264,0
265,2
266,2
267,1
268,0
269,2
270,1
271,1
272,0
273,1
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,2
284,0
285,0
286,2
287,0
288,0
289,2
290,1
291,2
292,0
293,1
294,0
295,0
296,1
297,2
298,2
299,0
300,2
301,2
302,1
303,2
304,1
305,0
306,2
307,1
308,1
309,2
310,1
311,1
312,0
313,2
314,2
315,1
316,1
317,1
318,0
319,2
320,1
321,0
322,2
323,2
324,1
325,0
326,2
327,2
328,2
329,2
330,1
331,2
332,2
333,2
334,2
335,1
336,2
337,1
338,2
339,2
340,2
341,1
342,2
343,1
344,1
345,1
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,1
358,2
